ID,商户号,支付通道,支付方式,POS号,金额,支付时间,订单状态,对账状态
345565,33333328,wxpay,被动扫码,2180009,5,2019-3-21 15:56,已支付,未对账
345563,33333302,wxpay,公众号\小程序,800010,4,2019-3-21 15:54,已支付,未对账
345561,33333330,alipay,被动扫码,900012,35,2019-3-21 15:52,已支付,未对账
345559,33333328,wxpay,被动扫码,2180009,5,2019-3-21 15:51,已支付,未对账
345557,33333330,wxpay,被动扫码,900013,3,2019-3-21 15:51,已支付,未对账
345556,33333330,alipay,被动扫码,900012,610,2019-3-21 15:50,已支付,未对账
345555,33333328,wxpay,被动扫码,2180009,5,2019-3-21 15:50,已支付,未对账
345552,33333315,wxpay,公众号\小程序,800023,14,2019-3-21 15:48,已支付,未对账
345551,33333330,alipay,被动扫码,900012,70,2019-3-21 15:48,已支付,未对账
345550,33333318,wxpay,公众号\小程序,800026,10,2019-3-21 15:47,已支付,未对账
345547,33333329,wxpay,公众号\小程序,800037,20,2019-3-21 15:43,已支付,未对账
345546,33333315,wxpay,被动扫码,171007,14,2019-3-21 15:42,已支付,未对账
345545,33333329,wxpay,公众号\小程序,800037,10,2019-3-21 15:38,已支付,未对账
345544,33333318,wxpay,被动扫码,171032,10,2019-3-21 15:34,已支付,未对账
345543,33333337,wxpay,被动扫码,900016,27,2019-3-21 15:34,已支付,未对账
345542,33333328,wxpay,公众号\小程序,800036,5,2019-3-21 15:34,已支付,未对账
345541,33333322,citizencard,市民卡,171031,12,2019-3-21 15:30,已支付,未对账
345540,33333328,wxpay,被动扫码,2180009,5,2019-3-21 15:31,已支付,未对账
345539,33333333,wxpay,被动扫码,900015,43,2019-3-21 15:29,已支付,未对账
345538,33333329,alipay,被动扫码,171011,10,2019-3-21 15:28,已支付,未对账
345537,33333329,wxpay,被动扫码,171018,10,2019-3-21 15:27,已支付,未对账
345536,33333329,wxpay,被动扫码,171018,10,2019-3-21 15:27,已支付,未对账
345535,33333322,wxpay,被动扫码,171031,12,2019-3-21 15:25,已支付,未对账
345534,33333302,wxpay,公众号\小程序,800010,6,2019-3-21 15:24,已支付,未对账
345533,33333330,wxpay,被动扫码,900012,50,2019-3-21 15:23,已支付,未对账
345532,33333329,alipay,被动扫码,171018,20,2019-3-21 15:22,已支付,未对账
345531,33333328,alipay,被动扫码,2180009,5,2019-3-21 15:19,已支付,未对账
345530,33333330,wxpay,公众号\小程序,800038,50,2019-3-21 15:18,已支付,未对账
345529,33333328,alipay,被动扫码,2180009,5,2019-3-21 15:18,已支付,未对账
345528,33333322,wxpay,被动扫码,171031,15,2019-3-21 15:17,已支付,未对账
345527,33333302,wxpay,公众号\小程序,800010,2,2019-3-21 15:16,已支付,未对账
345526,33333338,alipay,被动扫码,900022,400,2019-3-21 15:15,已支付,未对账
345525,33333328,wxpay,被动扫码,2180009,5,2019-3-21 15:12,已支付,未对账
345524,33333329,wxpay,公众号\小程序,800037,10,2019-3-21 15:12,已支付,未对账
345523,33333333,unionpay,被动扫码,900015,3,2019-3-21 15:11,已支付,未对账
345522,33333333,unionpay,被动扫码,900015,3,2019-3-21 15:11,已支付,未对账
345521,33333333,wxpay,被动扫码,900015,400,2019-3-21 15:10,已支付,未对账
345518,33333328,wxpay,公众号\小程序,800036,5,2019-3-21 15:10,已支付,未对账
345517,33333330,alipay,被动扫码,900012,35,2019-3-21 15:09,已支付,未对账
345516,33333329,alipay,被动扫码,171011,10,2019-3-21 15:06,已支付,未对账
345515,33333330,wxpay,被动扫码,900012,1000,2019-3-21 15:03,已支付,未对账
345513,33333315,alipay,被动扫码,171007,10,2019-3-21 14:59,已支付,未对账
345512,33333322,wxpay,被动扫码,171031,10,2019-3-21 14:59,已支付,未对账
345511,33333329,wxpay,公众号\小程序,800037,10,2019-3-21 14:59,已支付,未对账
345505,33333333,unionpay,被动扫码,900015,3,2019-3-21 14:54,已支付,未对账
345504,33333333,unionpay,被动扫码,900015,3,2019-3-21 14:54,已支付,未对账
345503,33333328,alipay,被动扫码,2180009,9,2019-3-21 14:53,已支付,未对账
345502,33333329,wxpay,公众号\小程序,800037,10,2019-3-21 14:53,已支付,未对账
345501,33333329,wxpay,公众号\小程序,800037,10,2019-3-21 14:51,已支付,未对账
