,school,sex,address,Pstatus,Pedu,reason,guardian,traveltime,studytime,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,0,0,0,0,1,2,2,1,1,0,1,1,1,0,0,1,1,3,2,3,0,0,2,6,2,2,2
1,0,0,0,1,2,2,0,0,1,1,0,1,1,1,0,0,1,4,2,2,0,0,2,4,2,2,2
2,0,0,0,1,2,0,2,0,1,0,1,0,1,0,0,0,1,3,2,1,1,2,2,10,2,2,3
3,0,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,4,2,3,3,1
4,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,3,2,1,0,1,4,4,2,3,3
5,0,1,0,1,0,3,2,0,1,1,0,0,0,0,0,0,1,4,3,1,0,1,4,10,3,1,1
6,0,1,0,1,0,1,2,0,1,1,1,1,1,0,0,0,1,3,3,3,0,0,2,0,1,3,3
7,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,1,1,3,0,3,0,0,0,6,2,2,2
8,0,1,0,0,0,1,2,0,1,1,0,0,1,0,0,0,1,3,1,1,0,0,0,0,3,1,1
9,0,1,0,1,0,1,2,0,1,1,0,0,0,0,0,0,1,4,4,0,0,0,4,0,1,1,1
10,0,0,0,1,1,3,2,0,1,1,0,0,1,0,0,0,1,2,2,2,0,1,1,0,1,2,2
11,0,0,0,1,2,3,0,2,2,1,0,1,0,0,0,0,1,4,1,1,0,0,3,4,1,3,3
12,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,3,2,2,0,2,4,2,1,3,3
13,0,1,0,1,0,2,2,1,1,1,0,0,1,0,0,0,1,4,3,2,0,1,2,2,1,3,3
14,0,1,0,0,0,1,1,0,2,1,0,1,1,0,0,0,0,3,4,1,0,0,2,0,1,1,1
15,0,0,0,1,1,1,2,0,0,1,0,1,1,0,0,0,1,3,3,3,0,1,1,4,1,3,3
16,0,0,0,1,1,3,2,0,2,1,0,0,0,0,0,0,1,2,1,2,0,1,1,6,1,3,3
17,0,0,0,1,0,3,2,2,1,0,0,1,0,0,0,1,1,4,2,1,0,0,3,4,2,3,3
18,0,1,0,1,0,2,2,0,0,1,0,1,0,0,0,0,1,4,4,4,1,3,4,16,2,2,2
19,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,2,0,2,4,4,2,3,3
20,0,1,0,1,0,3,2,0,1,1,1,1,1,0,0,0,1,3,3,0,0,0,0,0,1,3,1
21,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,4,3,1,0,0,4,0,1,1,1
22,0,1,0,1,0,2,2,0,1,1,1,1,0,0,0,0,1,3,4,0,0,2,4,2,3,1,1
23,0,1,0,1,0,3,2,1,1,1,0,1,0,0,0,0,1,4,3,3,1,3,4,0,1,3,3
24,0,0,1,1,0,2,2,0,2,0,0,0,0,0,0,0,1,3,2,1,0,0,4,2,1,2,2
25,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,2,4,14,2,2,2
26,0,1,0,1,0,1,2,0,0,1,0,0,1,0,0,0,1,3,1,1,0,1,4,2,1,3,3
27,0,1,0,1,0,0,2,0,0,1,1,0,1,0,0,0,1,1,1,3,1,3,0,4,3,1,1
28,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,4,2,2,0,0,4,4,1,3,3
29,0,1,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,3,3,4,4,4,4,16,1,3,3
30,0,1,0,1,1,1,2,0,1,1,0,0,1,1,0,0,1,4,3,1,2,3,4,0,2,3,3
31,0,1,0,1,1,3,2,1,1,1,0,1,0,0,0,0,1,3,2,0,0,0,4,0,3,1,1
32,0,1,1,1,0,2,2,0,1,1,0,1,0,0,0,0,0,3,4,1,0,0,4,0,3,1,1
33,0,1,0,1,0,2,2,0,1,1,1,1,0,1,0,0,1,4,2,1,0,0,1,0,2,3,3
34,0,1,0,1,0,1,2,0,0,1,0,0,1,1,0,0,1,4,3,2,0,0,4,0,1,3,1
35,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,4,0,0,0,4,0,2,2,2
36,0,1,0,1,0,1,2,0,2,1,0,1,0,0,0,0,1,4,3,2,0,0,3,2,3,1,1
37,0,1,1,0,1,3,2,1,2,1,0,1,0,0,0,0,0,1,3,2,0,0,4,7,3,1,1
38,0,0,1,1,0,2,2,0,2,0,0,0,0,0,0,0,1,3,2,1,0,0,4,2,1,3,3
39,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,8,1,3,3
40,0,0,0,1,0,1,2,1,1,1,0,1,0,1,0,0,0,2,2,2,0,1,2,25,2,3,3
41,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,4,3,2,1,3,4,8,1,3,3
42,0,1,0,1,1,2,0,0,1,1,0,1,0,0,0,0,1,3,2,2,0,0,4,2,3,1,1
43,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,4,3,0,0,0,0,0,2,2,3
44,0,0,0,1,0,2,0,1,1,0,1,1,0,0,0,0,1,3,2,2,1,1,4,14,1,3,2
45,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,4,8,2,2,2
46,0,0,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,1,2,4,0,3,2,12,1,3,3
47,0,1,0,1,0,3,2,0,3,1,1,1,0,0,0,0,1,3,1,1,0,0,1,4,3,1,1
48,0,1,0,1,0,1,2,0,1,1,0,0,1,0,0,1,1,3,2,2,1,1,4,2,3,1,3
49,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,3,3,0,0,2,2,2,2,2
50,0,0,0,1,0,2,2,2,1,1,0,0,1,0,0,0,1,3,2,2,1,2,3,2,1,3,3
51,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,1,3,2,2,0,0,4,2,1,3,3
52,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,4,4,4,2,3,4,6,1,3,3
53,0,0,0,1,1,2,2,0,0,0,0,0,1,0,0,0,1,2,2,3,1,2,4,0,2,3,3
54,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,4,2,3,3,3,0,6,1,3,3
55,0,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,4,2,3,0,0,1,8,2,2,3
56,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,1,3,2,1,0,0,0,0,1,1,1
57,0,1,0,1,1,3,2,0,1,1,0,1,0,0,0,1,1,2,1,1,0,0,4,4,1,1,1
58,0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,3,2,1,0,0,4,2,2,3,2
59,0,0,0,1,0,2,2,0,1,1,0,1,1,0,0,0,1,3,1,2,0,0,4,2,3,1,1
60,0,0,1,1,1,0,2,0,1,1,0,1,0,0,0,1,1,1,3,3,1,2,3,6,1,3,3
61,0,0,0,1,2,2,0,3,0,0,0,1,0,1,0,0,0,4,4,4,4,4,4,6,1,2,3
62,0,0,0,1,2,3,0,0,1,0,1,1,0,0,0,0,1,3,3,2,0,0,0,4,2,3,2
63,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,1,2,3,3,1,3,3,2,1,2,2
64,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,3,3,3,1,3,1,0,1,3,3
65,0,0,0,1,0,2,2,2,1,1,0,1,0,0,0,0,1,4,3,2,0,1,0,2,3,1,1
66,0,1,0,0,1,3,2,0,3,1,0,1,0,1,0,0,0,0,2,2,4,4,2,4,1,3,3
67,0,0,0,1,0,2,2,0,3,0,0,0,1,0,0,0,1,3,2,2,0,1,4,4,2,2,2
68,0,0,1,1,0,3,2,1,1,0,0,0,1,0,0,0,1,3,0,2,0,2,3,2,2,2,2
69,0,0,1,1,0,3,0,1,3,1,0,1,1,1,0,0,1,3,3,1,1,2,2,12,3,1,1
70,0,1,0,1,0,3,0,1,3,1,0,0,1,0,0,0,1,3,2,1,0,0,4,0,1,1,1
71,0,1,0,1,0,2,2,0,3,1,1,1,1,0,0,0,1,2,2,2,0,0,2,0,1,3,3
72,0,0,1,1,2,3,2,0,1,0,0,1,1,1,0,0,0,2,2,3,1,3,4,2,2,2,2
73,0,1,0,1,0,3,2,0,0,1,1,1,0,0,0,1,1,4,2,1,1,1,4,2,1,3,3
74,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,3,2,2,1,3,4,31,1,3,3
75,0,1,0,1,0,1,2,0,1,1,0,0,0,0,0,0,1,3,2,2,1,2,4,6,2,2,3
76,0,1,0,1,0,2,2,1,3,1,1,1,0,0,0,0,1,2,3,2,0,0,0,8,1,3,3
77,0,0,0,1,0,3,2,0,3,1,1,0,1,0,0,0,0,4,1,2,0,2,2,0,1,3,3
78,0,1,0,1,2,1,2,1,0,0,0,1,0,0,1,0,1,3,4,0,0,0,2,2,2,2,3
79,0,0,0,1,0,2,2,0,1,1,0,1,1,0,0,0,1,1,3,2,0,1,2,12,2,2,2
80,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,2,2,1,3,3
81,0,1,0,1,0,1,2,0,2,0,1,0,1,1,0,0,1,4,2,1,0,1,4,4,1,3,3
82,0,0,0,1,0,3,2,0,1,1,0,0,1,0,0,0,1,3,3,3,0,0,4,10,2,2,2
83,0,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,1,4,2,2,0,2,3,4,3,1,1
84,0,0,0,1,2,1,0,0,1,1,0,1,0,1,0,0,1,3,2,1,1,2,3,2,2,3,3
85,0,0,0,1,1,3,0,1,1,1,1,0,1,0,0,0,0,3,3,3,1,2,4,6,2,2,2
86,0,0,0,1,0,2,2,0,1,1,0,1,1,0,0,1,1,3,2,3,0,1,1,4,2,2,2
87,0,0,0,1,0,3,2,0,2,1,0,1,0,0,0,0,1,4,2,2,0,2,0,4,1,3,3
88,0,1,0,1,0,3,0,1,1,1,1,0,0,1,0,0,1,3,3,1,0,0,2,12,1,3,3
89,0,1,0,0,1,3,2,0,1,1,0,1,1,0,0,1,1,3,0,2,2,4,4,18,2,2,2
90,0,0,0,1,0,1,2,0,2,1,0,0,1,0,0,0,0,3,2,2,0,2,3,0,2,2,2
91,0,0,0,1,0,3,2,0,0,1,1,0,0,0,0,0,1,3,4,4,0,2,0,4,3,1,1
92,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,2,2,2,1,2,1,4,2,2,2
93,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,1,4,2,2,0,0,0,0,1,3,3
94,0,1,0,1,0,3,2,0,3,1,0,1,0,0,0,0,1,3,2,3,0,0,3,6,1,3,3
95,0,0,1,1,2,1,2,1,3,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,2,3,3
96,0,1,1,1,0,3,2,1,0,0,0,1,0,1,0,0,1,2,2,2,0,0,3,2,1,1,1
97,0,0,0,1,2,2,2,0,1,1,0,0,1,0,0,1,0,3,2,4,0,0,4,2,2,2,3
98,0,0,0,1,1,3,2,0,0,1,1,1,0,1,0,0,1,4,2,3,0,1,0,6,1,3,3
99,0,0,0,1,0,2,2,0,2,0,0,0,1,0,0,0,1,4,2,4,0,0,2,0,2,2,2
