iter	Passed	Remaining
0	2	754
1	4	711
2	7	721
3	9	707
4	11	652
5	13	655
6	15	649
7	17	647
8	20	648
9	22	640
10	24	635
11	26	628
12	28	622
13	30	627
14	32	623
15	34	619
16	37	617
17	39	615
18	41	610
19	43	610
20	45	609
21	47	606
22	49	602
23	52	601
24	54	601
25	56	599
26	58	596
27	61	595
28	63	594
29	65	593
30	68	590
31	70	587
32	72	586
33	74	583
34	76	579
35	78	578
36	81	576
37	83	573
38	85	570
39	87	567
40	89	564
41	91	562
42	93	559
43	95	557
44	97	554
45	99	551
46	102	549
47	104	547
48	105	542
49	108	540
50	110	537
51	112	535
52	114	532
53	116	529
54	118	526
55	120	524
56	122	522
57	124	520
58	126	518
59	129	516
60	131	515
61	133	513
62	135	511
63	137	508
64	140	506
65	142	504
66	144	501
67	146	498
68	148	496
69	150	494
70	152	492
71	154	489
72	156	487
73	159	485
74	161	483
75	163	481
76	165	479
77	167	477
78	169	475
79	171	472
80	173	469
81	175	467
82	178	465
83	180	463
84	182	461
85	184	460
86	186	457
87	188	455
88	191	452
89	193	450
90	195	448
91	197	445
92	199	443
93	201	441
94	203	439
95	205	436
96	214	449
97	216	447
98	219	444
99	221	442
100	223	440
101	225	437
102	227	435
103	229	432
104	231	430
105	233	427
106	236	425
107	238	423
108	239	420
109	241	417
110	244	415
111	246	413
112	248	410
113	250	408
114	252	406
115	254	403
116	256	401
117	258	399
118	261	397
119	263	394
120	265	392
121	267	390
122	269	387
123	271	385
124	273	382
125	275	380
126	277	378
127	280	376
128	282	374
129	284	372
130	286	370
131	289	367
132	291	365
133	293	363
134	295	360
135	297	358
136	299	355
137	301	353
138	303	351
139	305	349
140	308	347
141	310	345
142	312	342
143	314	340
144	316	338
145	318	336
146	321	334
147	323	332
148	325	330
149	327	327
150	330	325
151	332	323
152	334	321
153	336	319
154	338	316
155	340	314
156	342	312
157	344	309
158	346	307
159	348	305
160	350	302
161	352	300
162	355	298
163	357	296
164	359	294
165	361	291
166	363	289
167	365	287
168	367	285
169	369	282
170	371	280
171	373	278
172	375	275
173	377	273
174	380	271
175	382	269
176	384	267
177	386	264
178	388	262
179	390	260
180	392	258
181	394	255
182	396	253
183	398	251
184	400	248
185	402	246
186	404	244
187	406	242
188	408	240
189	410	237
190	412	235
191	414	233
192	416	231
193	418	228
194	420	226
195	422	224
196	424	222
197	426	219
198	428	217
199	430	215
200	432	213
201	434	210
202	436	208
203	439	206
204	440	204
205	443	202
206	444	199
207	446	197
208	449	195
209	451	193
210	452	191
211	454	188
212	456	186
213	459	184
214	461	182
215	463	180
216	465	178
217	467	175
218	469	173
219	472	171
220	474	169
221	476	167
222	478	165
223	480	163
224	482	160
225	484	158
226	485	156
227	487	154
228	490	151
229	492	149
230	494	147
231	496	145
232	498	143
233	500	141
234	502	139
235	504	136
236	506	134
237	508	132
238	511	130
239	513	128
240	515	126
241	517	124
242	519	121
243	521	119
244	523	117
245	525	115
246	527	113
247	529	110
248	531	108
249	532	106
250	534	104
251	536	102
252	538	100
253	540	97
254	543	95
255	545	93
256	547	91
257	549	89
258	551	87
259	553	85
260	555	83
261	557	80
262	559	78
263	561	76
264	563	74
265	565	72
266	567	70
267	569	68
268	571	65
269	573	63
270	575	61
271	577	59
272	579	57
273	581	55
274	583	53
275	585	50
276	588	48
277	590	46
278	592	44
279	594	42
280	596	40
281	597	38
282	599	36
283	601	33
284	603	31
285	605	29
286	607	27
287	609	25
288	611	23
289	613	21
290	615	19
291	618	16
292	620	14
293	622	12
294	624	10
295	625	8
296	627	6
297	629	4
298	631	2
299	633	0
